combination_index,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,answer_signature,selected_option_ids,top_idol_id,top_idol_name,score,confidence,matched_tags,top_user_tags
493475484,B,D,B,B,C,C,B,D,B,B,C,C,B,D,A,BDBBCCBDBBCCBDA,visual-01-b|visual-03-d|stage-01-b|stage-03-b|works-01-c|works-03-c|personality-01-b|personality-03-d|companionship-01-b|companionship-03-b|contrast-01-c|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-a,范丞丞,范丞丞,74,64,热血|搞笑|养成系|演员型|综艺型,热血|搞笑|反差型|舞台型|收藏型|综艺型|演员型|清冷
493737692,B,D,B,B,C,D,B,D,B,B,C,D,B,D,A,BDBBCDBDBBCDBDA,visual-01-b|visual-03-d|stage-01-b|stage-03-b|works-01-c|works-03-d|personality-01-b|personality-03-d|companionship-01-b|companionship-03-b|contrast-01-c|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-a,范丞丞,范丞丞,77,66,热血|搞笑|养成系|演员型|综艺型,热血|反差型|舞台型|搞笑|养成系|综艺型|收藏型|演员型
493999900,B,D,B,B,D,A,B,D,B,B,D,A,B,D,A,BDBBDABDBBDABDA,visual-01-b|visual-03-d|stage-01-b|stage-03-b|works-01-d|works-03-a|personality-01-b|personality-03-d|companionship-01-b|companionship-03-b|contrast-01-d|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-a,刘耀文,刘耀文,79,63,热血|养成系|舞台型,热血|舞台型|反差型|养成系|收藏型|实力派|清冷|甜酷
494262109,B,D,B,B,D,B,B,D,B,B,D,B,B,D,B,BDBBDBBDBBDBBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-b|works-01-d|works-03-b|personality-01-b|personality-03-d|companionship-01-b|companionship-03-b|contrast-01-d|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,刘耀文,刘耀文,77,61,热血|养成系|舞台型,热血|舞台型|反差型|演员型|养成系|收藏型|作品型|实力派
494524317,B,D,B,B,D,C,B,D,B,B,D,C,B,D,B,BDBBDCBDBBDCBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-b|works-01-d|works-03-c|personality-01-b|personality-03-d|companionship-01-b|companionship-03-b|contrast-01-d|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,刘耀文,刘耀文,75,60,热血|养成系|舞台型,热血|反差型|养成系|舞台型|收藏型|实力派|演员型|清冷
494786525,B,D,B,B,D,D,B,D,B,B,D,D,B,D,B,BDBBDDBDBBDDBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-b|works-01-d|works-03-d|personality-01-b|personality-03-d|companionship-01-b|companionship-03-b|contrast-01-d|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,刘耀文,刘耀文,81,64,热血|养成系|舞台型,热血|养成系|反差型|舞台型|收藏型|实力派|演员型|甜酷
495048733,B,D,B,C,A,A,B,D,B,C,A,A,B,D,B,BDBCAABDBCAABDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-a|works-03-a|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-a|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,ado,Ado,68,55,热血|反差型|线下应援型,反差型|收藏型|热血|甜酷|高级感|演员型|作品型|清冷
495310941,B,D,B,C,A,B,B,D,B,C,A,B,B,D,B,BDBCABBDBCABBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-a|works-03-b|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-a|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,张婧仪,张婧仪,71,62,热血|温柔|养成系|演员型|高级感,热血|演员型|反差型|作品型|收藏型|甜酷|高级感|养成系
495573149,B,D,B,C,A,C,B,D,B,C,A,C,B,D,B,BDBCACBDBCACBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-a|works-03-c|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-a|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,changbin-徐彰彬,Changbin 徐彰彬,67,59,热血|搞笑|实力派|反差型|创作型,反差型|收藏型|热血|甜酷|高级感|搞笑|演员型|作品型
495835357,B,D,B,C,A,D,B,D,B,C,A,D,B,D,B,BDBCADBDBCADBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-a|works-03-d|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-a|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,张婧仪,张婧仪,70,61,热血|温柔|养成系|演员型|高级感,热血|反差型|收藏型|养成系|甜酷|高级感|演员型|作品型
496097565,B,D,B,C,B,A,B,D,B,C,B,A,B,D,B,BDBCBABDBCBABDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-b|works-03-a|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-b|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,changbin-徐彰彬,Changbin 徐彰彬,71,62,热血|搞笑|实力派|反差型|创作型,反差型|收藏型|热血|清冷|高级感|实力派|温柔|创作型
496359773,B,D,B,C,B,B,B,D,B,C,B,B,B,D,B,BDBCBBBDBCBBBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-b|works-03-b|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-b|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,changbin-徐彰彬,Changbin 徐彰彬,71,62,热血|搞笑|实力派|反差型|创作型,热血|反差型|收藏型|高级感|实力派|作品型|演员型|清冷
496621981,B,D,B,C,B,C,B,D,B,C,B,C,B,D,B,BDBCBCBDBCBCBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-b|works-03-c|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-b|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,changbin-徐彰彬,Changbin 徐彰彬,77,66,热血|搞笑|实力派|反差型|创作型,反差型|收藏型|热血|创作型|清冷|高级感|实力派|搞笑
496884189,B,D,B,C,B,D,B,D,B,C,B,D,B,D,B,BDBCBDBDBCBDBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-b|works-03-d|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-b|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,changbin-徐彰彬,Changbin 徐彰彬,73,63,热血|搞笑|实力派|反差型|创作型,热血|反差型|收藏型|养成系|高级感|实力派|搞笑|清冷
497146397,B,D,B,C,C,A,B,D,B,C,C,A,B,D,B,BDBCCABDBCCABDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-c|works-03-a|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-c|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,lee-know-李旻浩,Lee Know 李旻浩,70,59,清冷|搞笑|实力派|反差型,反差型|收藏型|搞笑|热血|高级感|清冷|养成系|甜酷
497408605,B,D,B,C,C,B,B,D,B,C,C,B,B,D,B,BDBCCBBDBCCBBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-c|works-03-b|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-c|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,范丞丞,范丞丞,73,63,热血|搞笑|养成系|演员型|综艺型,热血|反差型|收藏型|搞笑|演员型|高级感|作品型|养成系
497670813,B,D,B,C,C,C,B,D,B,C,C,C,B,D,B,BDBCCCBDBCCCBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-c|works-03-c|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-c|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,范丞丞,范丞丞,74,64,热血|搞笑|养成系|演员型|综艺型,搞笑|反差型|收藏型|热血|高级感|综艺型|清冷|养成系
497933021,B,D,B,C,C,D,B,D,B,C,C,D,B,D,B,BDBCCDBDBCCDBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-c|works-03-d|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-c|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,范丞丞,范丞丞,77,66,热血|搞笑|养成系|演员型|综艺型,搞笑|热血|反差型|收藏型|养成系|综艺型|高级感|甜酷
498195229,B,D,B,C,D,A,B,D,B,C,D,A,B,D,B,BDBCDABDBCDABDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-d|works-03-a|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-d|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,严浩翔,严浩翔,72,60,实力派|养成系|舞台型|反差型,反差型|热血|收藏型|养成系|高级感|实力派|舞台型|清冷
498457437,B,D,B,C,D,B,B,D,B,C,D,B,B,D,B,BDBCDBBDBCDBBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-d|works-03-b|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-d|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,张婧仪,张婧仪,72,62,热血|温柔|养成系|演员型|高级感,热血|反差型|收藏型|养成系|高级感|作品型|实力派|演员型
498719645,B,D,B,C,D,C,B,D,B,C,D,C,B,D,B,BDBCDCBDBCDCBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-d|works-03-c|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-d|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,changbin-徐彰彬,Changbin 徐彰彬,72,62,热血|搞笑|实力派|反差型|创作型,热血|反差型|收藏型|养成系|高级感|搞笑|实力派|清冷
498981853,B,D,B,C,D,D,B,D,B,C,D,D,B,D,B,BDBCDDBDBCDDBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-c|works-01-d|works-03-d|personality-01-b|personality-03-d|companionship-01-b|companionship-03-c|contrast-01-d|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,jung-kook-田柾国,Jung Kook 田柾国,75,60,热血|实力派|养成系,养成系|热血|反差型|收藏型|高级感|实力派|搞笑|甜酷
499244061,B,D,B,D,A,A,B,D,B,D,A,A,B,D,B,BDBDAABDBDAABDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-a|works-03-a|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-a|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,ado,Ado,74,59,热血|反差型|线下应援型,反差型|热血|甜酷|收藏型|演员型|作品型|清冷|养成系
499506269,B,D,B,D,A,B,B,D,B,D,A,B,B,D,B,BDBDABBDBDABBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-a|works-03-b|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-a|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,timothe-e-chalamet,Timothée Chalamet,73,58,热血|养成系|演员型,热血|演员型|反差型|作品型|甜酷|收藏型|养成系|实力派
499768477,B,D,B,D,A,C,B,D,B,D,A,C,B,D,B,BDBDACBDBDACBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-a|works-03-c|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-a|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,范丞丞,范丞丞,72,62,热血|搞笑|养成系|演员型|综艺型,热血|反差型|搞笑|甜酷|收藏型|演员型|作品型|综艺型
500030685,B,D,B,D,A,D,B,D,B,D,A,D,B,D,B,BDBDADBDBDADBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-a|works-03-d|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-a|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,范丞丞,范丞丞,75,65,热血|搞笑|养成系|演员型|综艺型,热血|反差型|养成系|甜酷|收藏型|演员型|作品型|综艺型
500292893,B,D,B,D,B,A,B,D,B,D,B,A,B,D,B,BDBDBABDBDBABDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-b|works-03-a|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-b|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,changbin-徐彰彬,Changbin 徐彰彬,77,66,热血|搞笑|实力派|反差型|创作型,反差型|热血|清冷|收藏型|实力派|温柔|创作型|养成系
500555101,B,D,B,D,B,B,B,D,B,D,B,B,B,D,B,BDBDBBBDBDBBBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-b|works-03-b|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-b|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,changbin-徐彰彬,Changbin 徐彰彬,75,65,热血|搞笑|实力派|反差型|创作型,热血|反差型|收藏型|实力派|作品型|演员型|清冷|温柔
500817309,B,D,B,D,B,C,B,D,B,D,B,C,B,D,B,BDBDBCBDBDBCBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-b|works-03-c|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-b|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,changbin-徐彰彬,Changbin 徐彰彬,81,69,热血|搞笑|实力派|反差型|创作型,热血|反差型|创作型|清冷|搞笑|收藏型|实力派|综艺型
501079517,B,D,B,D,B,D,B,D,B,D,B,D,B,D,B,BDBDBDBDBDBDBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-b|works-03-d|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-b|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,changbin-徐彰彬,Changbin 徐彰彬,77,66,热血|搞笑|实力派|反差型|创作型,热血|反差型|养成系|收藏型|实力派|综艺型|搞笑|清冷
501341725,B,D,B,D,C,A,B,D,B,D,C,A,B,D,B,BDBDCABDBDCABDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-c|works-03-a|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-c|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,ado,Ado,72,58,热血|反差型|线下应援型,反差型|热血|搞笑|收藏型|综艺型|清冷|养成系|甜酷
501603933,B,D,B,D,C,B,B,D,B,D,C,B,B,D,B,BDBDCBBDBDCBBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-c|works-03-b|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-c|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,范丞丞,范丞丞,78,67,热血|搞笑|养成系|演员型|综艺型,热血|搞笑|反差型|演员型|收藏型|综艺型|作品型|养成系
501866141,B,D,B,D,C,C,B,D,B,D,C,C,B,D,B,BDBDCCBDBDCCBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-c|works-03-c|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-c|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,范丞丞,范丞丞,80,68,热血|搞笑|养成系|演员型|综艺型,搞笑|热血|综艺型|反差型|收藏型|清冷|养成系|甜酷
502128349,B,D,B,D,C,D,B,D,B,D,C,D,B,D,B,BDBDCDBDBDCDBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-c|works-03-d|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-c|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,范丞丞,范丞丞,82,69,热血|搞笑|养成系|演员型|综艺型,热血|搞笑|综艺型|反差型|养成系|收藏型|甜酷|实力派
502390557,B,D,B,D,D,A,B,D,B,D,D,A,B,D,B,BDBDDABDBDDABDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-d|works-03-a|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-d|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,ado,Ado,75,60,热血|反差型|线下应援型,热血|反差型|养成系|收藏型|实力派|舞台型|清冷|甜酷
502652765,B,D,B,D,D,B,B,D,B,D,D,B,B,D,B,BDBDDBBDBDDBBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-d|works-03-b|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-d|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,jung-kook-田柾国,Jung Kook 田柾国,75,60,热血|实力派|养成系,热血|反差型|养成系|收藏型|作品型|实力派|演员型|舞台型
502914973,B,D,B,D,D,C,B,D,B,D,D,C,B,D,B,BDBDDCBDBDDCBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-d|works-03-c|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-d|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,changbin-徐彰彬,Changbin 徐彰彬,76,65,热血|搞笑|实力派|反差型|创作型,热血|反差型|养成系|搞笑|收藏型|实力派|综艺型|清冷
503177181,B,D,B,D,D,D,B,D,B,D,D,D,B,D,B,BDBDDDBDBDDDBDB,visual-01-b|visual-03-d|stage-01-b|stage-03-d|works-01-d|works-03-d|personality-01-b|personality-03-d|companionship-01-b|companionship-03-d|contrast-01-d|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,jung-kook-田柾国,Jung Kook 田柾国,78,62,热血|实力派|养成系,热血|养成系|反差型|收藏型|综艺型|搞笑|实力派|甜酷
503439389,B,D,C,A,A,A,B,D,C,A,A,A,B,D,B,BDCAAABDCAAABDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-a|works-03-a|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-a|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,严浩翔,严浩翔,69,58,实力派|养成系|舞台型|反差型,反差型|舞台型|清冷|甜酷|收藏型|演员型|作品型|陪伴型
503701597,B,D,C,A,A,B,B,D,C,A,A,B,B,D,B,BDCAABBDCAABBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-a|works-03-b|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-a|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,蔡徐坤,蔡徐坤,66,58,清冷|养成系|舞台型|演员型|高级感,演员型|反差型|舞台型|作品型|热血|甜酷|收藏型|清冷
503963805,B,D,C,A,A,C,B,D,C,A,A,C,B,D,B,BDCAACBDCAACBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-a|works-03-c|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-a|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,蔡徐坤,蔡徐坤,64,57,清冷|养成系|舞台型|演员型|高级感,反差型|清冷|甜酷|收藏型|舞台型|演员型|作品型|陪伴型
504226013,B,D,C,A,A,D,B,D,C,A,A,D,B,D,B,BDCAADBDCAADBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-a|works-03-d|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-a|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,严浩翔,严浩翔,68,57,实力派|养成系|舞台型|反差型,反差型|养成系|甜酷|收藏型|舞台型|演员型|作品型|热血
504488221,B,D,C,A,B,A,B,D,C,A,B,A,B,D,B,BDCABABDCABABDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-b|works-03-a|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-b|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,严浩翔,严浩翔,72,60,实力派|养成系|舞台型|反差型,反差型|清冷|舞台型|收藏型|实力派|陪伴型|温柔|养成系
504750429,B,D,C,A,B,B,B,D,C,A,B,B,B,D,B,BDCABBBDCABBBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-b|works-03-b|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-b|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,严浩翔,严浩翔,67,57,实力派|养成系|舞台型|反差型,舞台型|反差型|热血|清冷|收藏型|实力派|作品型|演员型
505012637,B,D,C,A,B,C,B,D,C,A,B,C,B,D,B,BDCABCBDCABCBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-b|works-03-c|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-b|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,lee-know-李旻浩,Lee Know 李旻浩,70,59,清冷|搞笑|实力派|反差型,清冷|反差型|创作型|收藏型|舞台型|实力派|陪伴型|温柔
505274845,B,D,C,A,B,D,B,D,C,A,B,D,B,D,B,BDCABDBDCABDBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-b|works-03-d|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-b|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,严浩翔,严浩翔,71,59,实力派|养成系|舞台型|反差型,反差型|养成系|清冷|收藏型|舞台型|实力派|热血|陪伴型
505537053,B,D,C,A,C,A,B,D,C,A,C,A,B,D,B,BDCACABDCACABDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-c|works-03-a|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-c|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,严浩翔,严浩翔,70,59,实力派|养成系|舞台型|反差型,反差型|舞台型|清冷|收藏型|搞笑|陪伴型|养成系|热血
505799261,B,D,C,A,C,B,B,D,C,A,C,B,B,D,B,BDCACBBDCACBBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-c|works-03-b|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-c|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,蔡徐坤,蔡徐坤,65,58,清冷|养成系|舞台型|演员型|高级感,舞台型|反差型|热血|演员型|收藏型|作品型|搞笑|清冷
506061469,B,D,C,A,C,C,B,D,C,A,C,C,B,D,B,BDCACCBDCACCBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-c|works-03-c|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-c|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,lee-know-李旻浩,Lee Know 李旻浩,71,59,清冷|搞笑|实力派|反差型,搞笑|反差型|清冷|收藏型|舞台型|综艺型|陪伴型|养成系
506323677,B,D,C,A,C,D,B,D,C,A,C,D,B,D,B,BDCACDBDCACDBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-c|works-03-d|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-c|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,beomgyu-崔杋圭,Beomgyu 崔杋圭,72,60,搞笑|养成系|舞台型|综艺型,反差型|养成系|搞笑|综艺型|收藏型|舞台型|热血|清冷
506585885,B,D,C,A,D,A,B,D,C,A,D,A,B,D,B,BDCADABDCADABDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-d|works-03-a|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-d|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,严浩翔,严浩翔,79,65,实力派|养成系|舞台型|反差型,反差型|舞台型|养成系|清冷|收藏型|热血|实力派|陪伴型
506848093,B,D,C,A,D,B,B,D,C,A,D,B,B,D,B,BDCADBBDCADBBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-d|works-03-b|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-d|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,刘耀文,刘耀文,74,59,热血|养成系|舞台型,舞台型|热血|反差型|养成系|收藏型|作品型|实力派|演员型
507110301,B,D,C,A,D,C,B,D,C,A,D,C,B,D,B,BDCADCBDCADCBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-d|works-03-c|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-d|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,严浩翔,严浩翔,75,62,实力派|养成系|舞台型|反差型,舞台型|反差型|养成系|清冷|收藏型|热血|实力派|陪伴型
507372509,B,D,C,A,D,D,B,D,C,A,D,D,B,D,B,BDCADDBDCADDBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-a|works-01-d|works-03-d|personality-01-b|personality-03-d|companionship-01-c|companionship-03-a|contrast-01-d|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,刘耀文,刘耀文,77,61,热血|养成系|舞台型,养成系|舞台型|反差型|热血|收藏型|实力派|清冷|陪伴型
507634717,B,D,C,B,A,A,B,D,C,B,A,A,B,D,B,BDCBAABDCBAABDB,visual-01-b|visual-03-d|stage-01-c|stage-03-b|works-01-a|works-03-a|personality-01-b|personality-03-d|companionship-01-c|companionship-03-b|contrast-01-a|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,蔡徐坤,蔡徐坤,69,60,清冷|养成系|舞台型|演员型|高级感,反差型|舞台型|演员型|热血|清冷|甜酷|收藏型|作品型
507896925,B,D,C,B,A,B,B,D,C,B,A,B,B,D,B,BDCBABBDCBABBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-b|works-01-a|works-03-b|personality-01-b|personality-03-d|companionship-01-c|companionship-03-b|contrast-01-a|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,chappell-roan,Chappell Roan,69,53,舞台型|演员型,演员型|热血|舞台型|反差型|作品型|甜酷|收藏型|清冷
508159133,B,D,C,B,A,C,B,D,C,B,A,C,B,D,B,BDCBACBDCBACBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-b|works-01-a|works-03-c|personality-01-b|personality-03-d|companionship-01-c|companionship-03-b|contrast-01-a|contrast-04-c|spend-01-b|interaction-01-d|interaction-05-b,蔡徐坤,蔡徐坤,69,60,清冷|养成系|舞台型|演员型|高级感,反差型|演员型|舞台型|热血|清冷|甜酷|收藏型|作品型
508421341,B,D,C,B,A,D,B,D,C,B,A,D,B,D,B,BDCBADBDCBADBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-b|works-01-a|works-03-d|personality-01-b|personality-03-d|companionship-01-c|companionship-03-b|contrast-01-a|contrast-04-d|spend-01-b|interaction-01-d|interaction-05-b,王俊凯,王俊凯,71,57,热血|养成系|演员型,热血|反差型|演员型|养成系|舞台型|甜酷|收藏型|作品型
508683549,B,D,C,B,B,A,B,D,C,B,B,A,B,D,B,BDCBBABDCBBABDB,visual-01-b|visual-03-d|stage-01-c|stage-03-b|works-01-b|works-03-a|personality-01-b|personality-03-d|companionship-01-c|companionship-03-b|contrast-01-b|contrast-04-a|spend-01-b|interaction-01-d|interaction-05-b,蔡徐坤,蔡徐坤,69,60,清冷|养成系|舞台型|演员型|高级感,反差型|舞台型|清冷|热血|收藏型|养成系|演员型|创作型
508945757,B,D,C,B,B,B,B,D,C,B,B,B,B,D,B,BDCBBBBDCBBBBDB,visual-01-b|visual-03-d|stage-01-c|stage-03-b|works-01-b|works-03-b|personality-01-b|personality-03-d|companionship-01-c|companionship-03-b|contrast-01-b|contrast-04-b|spend-01-b|interaction-01-d|interaction-05-b,蔡徐坤,蔡徐坤,69,60,清冷|养成系|舞台型|演员型|高级感,热血|舞台型|反差型|演员型|清冷|收藏型|作品型|养成系
